Team Code,Team Name
G16EXCEL1NT,EXCEL 16 National Red
G18EXCEL1NT,EXCEL 18 National Red
G18FOVBC1LK,FaR Out 18 Black
G15FOVBC1LK,FaR Out 15 Black
G14FOVBC1LK,FaR Out 14 Black
G17FOVBC1LK,FaR Out 17 Black
G16FOVBC1LK,FaR Out 16 Black
G18FIGHT1HA,Fight Club VB 18-1
G17FORZA1SC,FORZA1 17 ONE
G15FORZA1SC,FORZA1 15 ONE
G17FORZN1SC,FORZA1 NORTH 17 ONE
G16FORZN1SC,FORZA1 NORTH 16 ONE
G18FORZN1SC,FORZA1 NORTH 18 ONE
G18FCELI1BG,FC Elite 18 Elite
G16FCELI12BG,FC Elite 16 Elite
G17FCELI1BG,FC Elite 17 Navy
G14FCELI1BG,FC Elite 14 Navy
G17FRVBC1RM,FRVBC 17-1 Black
G16FRVBC1RM,FRVBC 16-1 Black
G18FRVBC1RM,FRVBC 18-1 Black
G17GJVBC1FL,GJ 17 ADIDAS
G13GJVBC1FL,GJ 13 ADIDAS
G15GJVBC1FL,GJ 15 ADIDAS
G13GPONT1FL,GP 13 National
G14GPONT1FL,GP 14 National
G17GPONT1FL,GP 17 National
G16GPONT1FL,GP 16 National
G18GPONT1FL,GP 18 National
G17GLOBL1FL,GSI 17 Green
G17HNLVB1AH,HNL Volleyball 17 Black
G16HNLVB1AH,HNL Volleyball 16 Black
G17HPSTL1GW,HPSTL 17 Royal
G14HPSTL1GW,HPSTL 14 Royal
G12HPSTL1GW,HPSTL 12 Royal
G16HPSTL1GW,HPSTL 16 Royal
G15HPSTL1GW,HPSTL 15 Royal
G18HPSTL1GW,HPSTL 18 Royal
G18HOUJR1LS,HJV 18 ELITE
G15HOUJR1LS,HJV 15 ELITE
G15HOUJR2LS,HJV 15 PREMIER
G13HOUJR1LS,HJV 13 ELITE
G14HOUJR1LS,HJV 14 ELITE
G17HOUJR1LS,HJV 17 ELITE
G17HOUJR2LS,HJV 17 PREMIER
G16HOUJR1LS,HJV 16 ELITE
G16HOUJR2LS,HJV 16 PREMIER
G17HOSKY2LS,H Skyline 17 Black
G17HOSKY1LS,H Skyline 17 Royal
G14HOSKY1LS,H Skyline 14 Royal
G15HOSKY2LS,H Skyline 15 Black
G15HOSKY1LS,H Skyline 15 Royal
G16HOSKY2LS,H Skyline 16 Black
G16HOSKY1LS,H Skyline 16 Royal
G18HOSKY1LS,H Skyline 18 Royal
G18HOSKY2LS,H Skyline 18 Black
G18IDCRS1IM,ID Crush 18 Engelson
G15IDCRS1IM,ID Crush 15 Yett
G14IDCRS1IM,ID Crush 14 Holtzclaw
G17IDCRS1IM,ID Crush 17 Bower
G16IDCRS1IM,ID Crush 16 Bower
G16IEVBC1GL,Illini Elite 16 Cardinal
G17IEVBC1GL,Illini Elite 17 Cardinal
G18IEVBC1GL,Illini Elite 18 Cardinal
G17IMGVB1FL,IMGA Ascender Elite 17-1
G15IMGVB1FL,IMGA Ascender Elite 15-1
G17INVAS1HA,Invasion 17-Black
G17PWRPX1IA,PowerPlex 17U Brogean
G16PWRPX1IA,PowerPlex 16U Nelson
G15PWRPX1IA,PowerPlex 15U Mendieta
G18PWRPX1IA,PowerPlex 18U Wieland
G15IAUTD1IA,Iowa United 151 Elite
G16IAUTD1IA,Iowa United 161 Elite
G17IAUTD1IA,Iowa United 171 Elite
G17JAXJR1FL,JJVA 17 Teal
G16JAXJR1FL,JJVA 16 Teal
G15JAXJR1FL,JJVA 15 Teal
G15SKYLN1FL,JAX SKYLINE 15 Royal
G16SKYLN1FL,JAX SKYLINE 16 Royal
G17SKYLN1FL,JAX SKYLINE 17 Royal
G16JUGGE1RM,Juggernaut 16-National1
G16KTVBC1SO,K2 16 Elite
G18KTVBC1SO,K2 18 Jota
G16KAULU2AH,Ka Ulukoa 16 Taylor
G16KAULU1AH,Ka Ulukoa 16 Larry
G16KAIRO2NO,Kairos 16 Beta
G16KAIRO1NO,Kairos 16 Alpha
G17KAIRO2NO,Kairos 17 Beta
G17KAIRO1NO,Kairos 17 Alpha
