Match ID,First Team ID,First Team Name,Second Team ID,Second Team Name,Winner,Set Scores
-51783,202113,Club V 17 Red Megan,206534,Club 801 U18 Callie,Club 801 U18 Callie,"25-14, 25-20"
-51828,71455,CoJrs 17Tara/Amy,202113,Club V 17 Red Megan,Club V 17 Red Megan,"18-25, 25-17, 15-13"
-51666,11721,Momentum 17 Tara,202114,Club V 17 Red Austin,Momentum 17 Tara,"25-11, 25-13"
-51668,11721,Momentum 17 Tara,199684,FCA One 17s,Momentum 17 Tara,"25-12, 25-22"
-51639,9870,NORCO 17 Blue,182988,VC Denver 17 Black,NORCO 17 Blue,"25-9, 25-16"
-51641,9870,NORCO 17 Blue,125122,Excel NW 17-1 Lux,NORCO 17 Blue,"25-19, 23-25, 16-14"
-51806,71455,CoJrs 17Tara/Amy,205244,High Desert Elite 17 E-EK,CoJrs 17Tara/Amy,"25-23, 23-25, 15-9"
-51851,71455,CoJrs 17Tara/Amy,199684,FCA One 17s,CoJrs 17Tara/Amy,"25-23, 25-22"
-51852,182988,VC Denver 17 Black,71455,CoJrs 17Tara/Amy,CoJrs 17Tara/Amy,"25-16, 25-22"
-51867,71455,CoJrs 17Tara/Amy,205244,High Desert Elite 17 E-EK,CoJrs 17Tara/Amy,"25-21, 25-12"
-51871,71455,CoJrs 17Tara/Amy,125122,Excel NW 17-1 Lux,CoJrs 17Tara/Amy,"30-28, 25-20"
-51870,71455,CoJrs 17Tara/Amy,205244,High Desert Elite 17 E-EK,CoJrs 17Tara/Amy,"25-14, 28-26"
-51839,205244,High Desert Elite 17 E-EK,47876,Excel NW 18-1 Lux,High Desert Elite 17 E-EK,"25-20, 25-21"
-51840,20908,Momentum 18 Jen,205244,High Desert Elite 17 E-EK,High Desert Elite 17 E-EK,"25-20, 25-16"
-51872,64020,Elevation 17 Timberline,205244,High Desert Elite 17 E-EK,High Desert Elite 17 E-EK,"18-25, 25-21, 15-11"
-51660,47876,Excel NW 18-1 Lux,64020,Elevation 17 Timberline,Elevation 17 Timberline,"11-25, 25-18, 15-8"
