TeamCode,TeamName,2024 Triple Crown NIT,2024 USAV Girls Junior National Championship 14-17,2025 Triple Crown Colorado Challenge,25 Central Zone Invitational
g13tavbj2ho,Boiler Jrs 13-2E Black,,,,29 (13 Premier)
g13tavms1ho,Monon 13-1O Cardinals,,,,13 (13 Open)
g13tavms2ho,Monon 13-2E Parrots,,,,13 (13 Premier)
g13theed1rm,The EDGE 13 Walter,,,5 (13 Elite),
g13tivbc1ho,TI Elite 13.1,,,,18 (13 Open)
g13tivbc4ho,TI Elite 13 SS,,,,5 (13 Premier)
g13tmdyn1ha,DYNASTY 12 Black,7 (12 & Under),,,
g13tnpfc1so,TPV 13-Zulu,,,,17 (13 Premier)
g13tnpfc2so,TPV 13-Yankee,,,,23 (13 Club Red)
g13toldv1ov,TDV 13Elite,,,,9 (13 Club Blue)
g13tolvc1ov,TVC 13-Black,,,,21 (13 Premier)
g13tolvc2ov,TVC 13-Royal,,,,17 (13 Club White)
g13tolvc3ov,TVC 13-Silver,,,,19 (13 Club Red)
g13tpine1ho,Pineapple 13 Black,,,,12 (13 Open)
g13unifi1lk,Unified 13-1,,,,9 (13 Club White)
g13union1pr,UNION 13 UA Black,,,,17 (13 Premier)
g13union2pr,UNION 13 UA Green,,,,3 (13 Club Red)
g13union3pr,UNION 13 Purple,,,,19 (13 Club Blue)
g13wavev2ho,WAVE SELMA 13 Red Storm,,,,21 (13 Club Blue)
g13wbuck1ov,13-1 Amy,,,,5 (13 Club Blue)
g14123461ho,Tier10 14 Black,,,,19 (14 Club Red)
g14209vb1ev,208 U14 Elite,,34 (14 National),,
g142unvb1nt,1United 14N Blue,74 (14 & Under),18 (14 National),,
g142unvb2nt,1United 14N White,,11 (14 American),,
g14307301pr,Tell City Volleyball 14-1,,,,15 (14 Club Green)
g14397892pu,Kali 14 Emily,,99 (14 Patriot),,
g14541va1od,540 VB 14 Elite,,55 (14 American),,
g14809ac1ah,808 Athletic Cub 14 BLUE,,9 (14 Patriot),,
g14acavc1ov,AVC CLE 14 Red,,,,3 (14 Open)
g14acavc2ov,AVC CLE 14 White,,,,5 (14 Premier Red)
g14acity1ov,CHiX 14-PiNK,,,,5 (14 Club Blue)
g14afive1so,A5 13-1 Karen,1 (13 & Under),,,
g14akiva1pr,Adidas KIVA 14 Red,19 (13 & Under),,,13 (14 Open)
g14akiva2pr,Adidas KIVA 14 White,,,,9 (14 Premier Red)
g14akiva3pr,Adidas KIVA 14 Black,,,,2 (14 Club White)
g14akiva4pr,Adidas  KIVA 14 Silver,,,,13 (14 Club White)
g14allia1gl,1st Alliance 14-1,19 (13 & Under),,,9 (14 Open)
g14allvb1so,Alliance 14 REN,,,,5 (14 Open)
g14allvb2so,Alliance14 MOLTEN,,,,17 (14 Premier Blue)
g14alper1pr,Alpha A.41,,,,3 (14 Premier Blue)
g14alper2pr,Alpha A.42,,,,13 (14 Club Green)
g14arvbc1ov,AVA-14N Krause,,,,5 (14 Club Green)
g14arvbc2ov,AVA-14N Richardson,,,,21 (14 Club Red)
g14asmun1ho,Munciana 13 Stingrays,21 (13 & Under),,,
g14athhqaov,Athlete HQ 14-Justice,,,,5 (14 Club Blue)
g14athhqbov,Athlete HQ 14-Fulk,,,,21 (14 Club Green)
g14athhqcov,Athlete HQ 14-Angell,,,,27 (14 Club Red)
g14attak1lk,Attack VBC 14 Mizuno Lime,,,,9 (14 Club Red)
g14azsky1az,AZ SKY 13 Gold,21 (13 & Under),,,
g14belie1rm,Believe 14 Praise,,,9 (14 Club),
g14belie2rm,Believe VBC 14 Rejoice,,,9 (14 Club),
