b16whtcr1cr,,,,,5 (Boys 16U (2-day)),,,,,,,,,,,,,,,,,,,,,,,,White Cross Elite 16 Boys
b16wpvcb1fl,,,,,,,18th (B18 Open),,,,,,,,,,,,,,,,,,,,,,
b16wpvcb2fl,,,,,,,9th (B16 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b16wpvcb4fl,,,,,,,21st (B16 Open-USA),,,,,,,,,,,,,,,,,,,,,,
b16xcelp1cr,,,,,7 (Boys 16U (2-day)),,,,,,,,,,,,,,,,,,,,,,,,XVP 16 Elite Boys
b17akiva1pr,,,,,,,,,,,,23 (18 Boys),,,,,,,,,,,,,,,,,KIVA 17B Red
b17allin1fl,,,,,,,11th (B17 Open),,,,,,,,,,,,,,,,,,,,,,
b17apexj1pm,,,,,9 (Boys 18U (2-day)),,,,,,,,,,,,,,,,,,,,,,,,Apex 17 Select Boys
b17bkeye1ov,,,,,,,,,,,,19 (18 Boys),,,,,,,,,,,,,,,,,Buckeye Boys 17 Red
b17cattk2ov,,,,,,,,,,,,5 (18 Boys),,,,,,,,,,,,,,,,,Cinci Attack 17 Red
b17cattk3ov,,,,,,,,,,,,19 (18 Boys),,,,,,,,,,,,,,,,,Cinci Attack 17 Gold
b17cattk4ov,,,,,,,,,,,,18 (18 Boys),,,,,,,,,,,,,,,,,Cinci Attack 17 White
b17cinel2ov,,,,,,,,,,,,21 (18 Boys),,,,,,,,,,,,,,,,,Cincy Elite 17 Pomeroy
b17cinel3ov,,,,,,,,,,,,21 (18 Boys),,,,,,,,,,,,,,,,,Cincy Elite 17 Elite
b17excel1pm,,,,,18 (Boys 18U (2-day)),,,,,,,,,,,,,,,,,,,,,,,,EXCELL 17-1 Anthony
b17fivai1fl,,,,,,,11th (B17 Open),,,,,,,,,,,,,,,,,,,,,,
b17flelt1fl,,,,,,,11th (17 USA),,,,,,,,,,,,,,,,,,,,,,
b17flelt2fl,,,,,,,10th (17 USA),,,,,,,,,,,,,,,,,,,,,,
b17mavsb1ha,,,,1 (18 Boys),,,,,,,,,,,,,,,,,,,,,,,,,MAVS 17 Red
b17mnsel2no,,,,19 (18 Boys),,,,,,,,,,,,,,,,,,,,,,,,,MN Select Boys 17-2
b17muted1fl,,,,,,,2nd (B17 Open),,,,,,,,,,,,,,,,,,,,,,
b17muted2fl,,,,,,,3rd (17 USA),,,,,,,,,,,,,,,,,,,,,,
b17muted3fl,,,,,,,7th (17 USA),,,,,,,,,,,,,,,,,,,,,,
b17muted4fl,,,,,,,5th (17 USA),,,,,,,,,,,,,,,,,,,,,,
b17mvpac1fl,,,,,,,2nd (17 USA),,,,,,,,,,,,,,,,,,,,,,
b17obvbc1fl,,,,,,,3rd (B17 Open),,,,,,,,,,,,,,,,,,,,,,
b17ocean1od,,,,,13 (Boys 18U (2-day)),,,,,,,,,,,,,,,,,,,,,,,,OVC 17 Neptune
b17ogold1fl,,,,,,,9th (B18 Open),,,,,,,,,,,,,,,,,,,,,,
b17ogold2fl,,,,,,,4th (17 USA),,,,,,,,,,,,,,,,,,,,,,
b17ogold3fl,,,,,,,6th (17 USA),,,,,,,,,,,,,,,,,,,,,,
b17oprem1ov,,,,,,,,,,,,5 (18 Boys),,,,,,,,,,,,,,,,,OPVC 17 Purple
b17oprem2ov,,,,,,,,,,,,11 (18 Boys),,,,,,,,,,,,,,,,,OPVC 17 Black
b17oprem3ov,,,,,,,,,,,,27 (18 Boys),,,,,,,,,,,,,,,,,OPVC 17 White
b17pghel1ke,,,,,,,,,,,,5 (18 Boys),,,,,,,,,,,,,,,,,PEVA Boys 17 Elite
b17serva1od,,,,,7 (Boys 18U (2-day)),,,,,,,,,,,,,,,,,,,,,,,,SERV 17 Beast
b17skyln1fl,,,,,,,7th (B17 Open),,,,,,,,,,,,,,,,,,,,,,
b17tkiwi1fl,,,,,,,9th (B17 Open),,,,,,,,,,,,,,,,,,,,,,
b17trdun1cr,,,,,3 (Boys 18U (2-day)),,,,,,,,,,,,,,,,,,,,,,,,TUVA Boys 17 Elite
b17tribe1fl,,,,,,,10th (B17 Open),,,,,,,,,,,,,,,,,,,,,,
b17tribe2fl,,,,,,,7th (17 USA),,,,,,,,,,,,,,,,,,,,,,
b17tropi1fl,,,,,,,1st (B17 Open),,,,,,,,,,,,,,,,,,,,,,
b17tropi2fl,,,,,,,6th (B17 Open),,,,,,,,,,,,,,,,,,,,,,
b17unvbc1ha,,,,5 (18 Boys),,,,,,,,,,,,,,,,,,,,,,,,,KC United 17 Navy
b17welln1fl,,,,,,,1st (17 USA),,,,,,,,,,,,,,,,,,,,,,
b17wpvcb1fl,,,,,,,5th (B17 Open),,,,,,,,,,,,,,,,,,,,,,
b17wpvcb2fl,,,,,,,4th (B17 Open),,,,,,,,,,,,,,,,,,,,,,
b17wpvcb3fl,,,,,,,7th (B17 Open),,,,,,,,,,,,,,,,,,,,,,
b17wpvcb4fl,,,,,,,9th (17 USA),,,,,,,,,,,,,,,,,,,,,,
b17wpvcb5fl,,,,,,,11th (17 USA),,,,,,,,,,,,,,,,,,,,,,
b18aavbc2ov,,,,,,,,,,,,10 (18 Boys),,,,,,,,,,,,,,,,,A2 18 Scarlet
b18agape1fl,,,,,,,10th (B18 USA),,,,,,,,,,,,,,,,,,,,,,
b18akiva1pr,,,,,,,,,,,,3 (18 Boys),,,,,,,,,,,,,,,,,KIVA 18B Red
b18aovbl1ha,,,,12 (18 Boys),,,,,,,,,,,,,,,,,,,,,,,,,Alpha Omega Boys 18-1
b18apexj1pm,,,,,2 (Boys 18U (2-day)),,,,,,,,,,,,,,,,,,,,,,,,Apex 18 Select Boys
b18atlxt1so,,,,,,,27th (B18 USA),,,,,,,,,,,,,,,,,,,,,,
b18bavbc1ok,,,,23 (18 Boys),,,,,,,,,,,,,,,,,,,,,,,,,BAVC  Boys 18-1
b18bkeye1ov,,,,,,,,,,,,17 (18 Boys),,,,,,,,,,,,,,,,,Buckeye Boys 18 Red
b18cattk2ov,,,,,,,,,,,,1 (18 Boys),,,,,,,,,,,,,,,,,Cinci Attack 18 Red
b18cattk3ov,,,,,,,,,,,,15 (18 Boys),,,,,,,,,,,,,,,,,Cinci Attack 18 Gold
b18chmpv1cr,,,,,20 (Boys 18U (2-day)),,,,,,,,,,,,,,,,,,,,,,,,Champion 18 Boys Purple
b18cnvkc1ha,,,,26 (18 Boys),,,,,,,,,,,,,,,,,,,,,,,,,CNVKC Mizuno Boys 18-1
b18cvbco1ov,,,,,,,,,,,,15 (18 Boys),,,,,,,,,,,,,,,,,CVC 18N-1
b18diamd1fl,,,,,,,19th (B18 USA),,,,,,,,,,,,,,,,,,,,,,
b18dnavb1fl,,,,,,,5th (B18 USA),,,,,,,,,,,,,,,,,,,,,,
b18dstjr1ge,,,,,,,3rd (B18 USA),,,,,,,,,,,,,,,,,,,,,,
b18ecvbc1gc,,,,,,,24th (B18 USA),,,,,,,,,,,,,,,,,,,,,,
b18elevt1cr,,,,,14 (Boys 18U (2-day)),,,,,,,,,,,,,,,,,,,,,,,,EAVC Platinum
b18esvc11ov,,,,,,,,,,,,13 (18 Boys),,,,,,,,,,,,,,,,,Eastside 18U Herron
b18etvmr1pu,,,,,,,5th (B18 USA),,,,,,,,,,,,,,,,,,,,,,
b18evbcs1ha,,,,24 (18 Boys),,,,,,,,,,,,,,,,,,,,,,,,,Elite B18 Premier
b18excel1pm,,,,,12 (Boys 18U (2-day)),,,,,,,,,,,,,,,,,,,,,,,,EXCELL 18-1 Shane Navy
b18fivai1fl,,,,,,,13th (B18 Open),,,,,,,,,,,,,,,,,,,,,,
b18flelt1fl,,,,,,,5th (B18 USA),,,,,,,,,,,,,,,,,,,,,,
