TeamName,TeamCode,OriginalTeamCode,FinishRank,DivisionName,EventName
MAVS 13 Elite,g13mavbc1ha,g13mavbc1ha,13 (13 & Under),13 & Under,2026 Triple Crown NIT
WAVE 13-Tammy,g13wvevb1sc,g13wvevb1sc,13 (13 & Under),13 & Under,2026 Triple Crown NIT
ARIZONA STORM 13 THUNDER,g13storm1az,g13storm1az,17 (13 & Under),13 & Under,2026 Triple Crown NIT
PVA 13 ELITE,g13pvakc1ha,g13pvakc1ha,18 (13 & Under),13 & Under,2026 Triple Crown NIT
GJ 13 ADIDAS,g13gjvbc1fl,g13gjvbc1fl,19 (13 & Under),13 & Under,2026 Triple Crown NIT
OT 13 T Kesha,g13otbva1fl,g13otbva1fl,19 (13 & Under),13 & Under,2026 Triple Crown NIT
GP 13 National,g13gpont1fl,g13gpont1fl,21 (13 & Under),13 & Under,2026 Triple Crown NIT
MN Select 13-1,g13mnsel1no,g13mnsel1no,21 (13 & Under),13 & Under,2026 Triple Crown NIT
Premier Nebraska 13 Gold,g13premr1gp,g13premr1gp,21 (13 & Under),13 & Under,2026 Triple Crown NIT
TAV 13 Black Jon,g13txadv1nt,g13txadv1nt,21 (13 & Under),13 & Under,2026 Triple Crown NIT
AP 13 adidas,g13aperf1ls,g13aperf1ls,25 (13 & Under),13 & Under,2026 Triple Crown NIT
Legacy 13-1 ADIDAS,g13legvc1lk,g13legvc1lk,26 (13 & Under),13 & Under,2026 Triple Crown NIT
Mintonette Sports m.31,g13msprt1ov,g13msprt1ov,27 (13 & Under),13 & Under,2026 Triple Crown NIT
Sunshine 13 Westside,g13sunsh1sc,g13sunsh1sc,27 (13 & Under),13 & Under,2026 Triple Crown NIT
Elevation 13 Peak,g13elevb1rm,g13elevb1rm,29 (13 & Under),13 & Under,2026 Triple Crown NIT
HJV 13 ELITE,g13houjr1ls,g13houjr1ls,29 (13 & Under),13 & Under,2026 Triple Crown NIT
Madtown 131 National,g13madjr1bg,g13madjr1bg,29 (13 & Under),13 & Under,2026 Triple Crown NIT
Munciana 13 Stingrays,g13munvb1ho,g13munvb1ho,29 (13 & Under),13 & Under,2026 Triple Crown NIT
Dal Skyline 14 Royal-Erin,g14skyln1nt,g14skyln1nt,1 (14 & Under),14 & Under,2026 Triple Crown NIT
Legacy 14-1 ADIDAS,g14legvc1lk,g14legvc1lk,2 (14 & Under),14 & Under,2026 Triple Crown NIT
Tribe 14 VKTRY Cardinal,g14tribe1fl,g14tribe1fl,3 (14 & Under),14 & Under,2026 Triple Crown NIT
WAVE 14-Juliana,g14wvevb1sc,g14wvevb1sc,3 (14 & Under),14 & Under,2026 Triple Crown NIT
1st Alliance 14-1,g14allia1gl,g14allia1gl,5 (14 & Under),14 & Under,2026 Triple Crown NIT
A5 14 Helen,g14afive1so,g14afive1so,5 (14 & Under),14 & Under,2026 Triple Crown NIT
EXCEL 14 National Red,g14excel1nt,g14excel1nt,5 (14 & Under),14 & Under,2026 Triple Crown NIT
Premier Nebraska 14 Gold,g14premr1gp,g14premr1gp,5 (14 & Under),14 & Under,2026 Triple Crown NIT
MADFROG 14'S N GREEN,g14frogs1nt,g14frogs1nt,9 (14 & Under),14 & Under,2026 Triple Crown NIT
PVA 14 ELITE,g14pvakc1ha,g14pvakc1ha,10 (14 & Under),14 & Under,2026 Triple Crown NIT
AZ Sky 14 Gold,g14azsky1az,g14azsky1az,11 (14 & Under),14 & Under,2026 Triple Crown NIT
HPSTL 14 Royal,g14hpstl1gw,g14hpstl1gw,11 (14 & Under),14 & Under,2026 Triple Crown NIT
COAST 14-1 Said,g14coast1sc,g14coast1sc,13 (14 & Under),14 & Under,2026 Triple Crown NIT
DYNASTY 14 Black,g14tmdyn1ha,g14tmdyn1ha,14 (14 & Under),14 & Under,2026 Triple Crown NIT
Alamo 14 Premier,g14alamo1ls,g14alamo1ls,15 (14 & Under),14 & Under,2026 Triple Crown NIT
ARIZONA STORM 14 THUNDER,g14storm1az,g14storm1az,15 (14 & Under),14 & Under,2026 Triple Crown NIT
MAVS 14 Elite,g14mavbc1ha,g14mavbc1ha,17 (14 & Under),14 & Under,2026 Triple Crown NIT
A5 14 MoBetty,g14afive2so,g14afive2so,18 (14 & Under),14 & Under,2026 Triple Crown NIT
ARVC 14 Black Adidas,g14arvca1su,g14arvca1su,19 (14 & Under),14 & Under,2026 Triple Crown NIT
