g11pr1pu1pu,GVA/MIZUNO 111U PINK,,,,,,,,,,,,,,16 (10 Girls),,,,,,,,
g11prsut1gw,Pursuit 11 Elite,,,,,,,,,,13 (11 Open),,,,,,,,,,,,
g11rncjr1ho,Roncalli Juniors 11-1,,,,,,,,,,5 (11 Girls),,,,,,,,,,,,
g11skyln1fl,JAX SKYLINE 11 Royal,,,,,,5 (11-12G Club),,,,,,,,5 (10 Girls),,,,,,,,
g11skyln1nt,Dallas Skyline 11 Royal,,7 (10 Patriot),,,,,,,,,,,,18 (10 Girls),,,,,,,,
g11spart1fl,LAKE NONA 11 COACH C,,,,,,,,,,,,,,43 (10 Girls),,,,,,,,
g11sunsh1sc,Sunshine 11 Firecrackers,,7 (10 Patriot),,,,,,,,,,,,,,,,,,,,
g11swvbc1ov,Southwest 11E Amy,,,,12 (12 Club),,,,,,,,,,,,,,,,,,
g11tavbc1ho,Academy 11-1E Force,,,,,,,,,,,None (12 Girls Full Schedule),,,,,,,,,,,
g11tavbj1ho,Boiler Jrs 11-1E Gold,,,,,,,,,,7 (11 Open),None (12 Girls Full Schedule),,,29 (10 Girls),,,,,,,,
g11tavms1ho,Monon 11-1E Voltage,,,,,,,,,,5 (11 Open),None (12 Girls Full Schedule),,,3 (10 Girls),,,,,,,,
g11three1fl,305 VBC 11S Alan,,,,,,,,,,,,,,44 (10 Girls),,,,,,,,
g11tmdyn1ha,DYNASTY 11 Black ,,3 (10 Patriot),,,,,,,,,,,,5 (10 Girls),,,,,,,,
g11tnvbc1fl,Tampa North 11 Black,,,,,,,,,,,,,,31 (10 Girls),,,,,,,,
g11tolvc1ov,TVC 11-Black,,,,,,,,,,3 (11 Girls),,,,,,,,,,,,
g11tovcw1pu,TOVC 11-1 Ruben,,,,,,,,,,,,,,5 (10 Girls),,,,,,,,
g11tsvba1fl,Top Select 11 Elite,,,,,,,,,,,,,,39 (10 Girls),,,,,,,,
g11unite1fl,Tampa United VBA 11B ROX,,,,,,,,,,,,,,37 (10 Girls),,,,,,,,
g11vaque1pu,Vaqueras 11-1,,,,,,,,,,,,,,1 (10 Girls),,,,,,,,
g11wpvcb1fl,WPVC 11 Armour Black,,,,,,,,,,,,,,31 (10 Girls),,,,,,,,
g12acavc1ov,AVC CLE 12 Red,,,,3 (12 Open),,,11 (12 Open),,,,,,,,,,,,,,,
g12acavc2ov,AVC CLE 12 White,,,,7 (12 Open),,,13 (12 Open),,,,,,,,,,,,,,,
g12acdvp1nc,Academy 12 National,,17 (11 National),,,,,,,,,,,,,,,,,,,,
g12acity1ov,CHiX 12-PiNK,,,,,,,,,,9 (12 Club Blue),,,,,,,,,,,,
g12afive1so,A5 12-1 LA,,5 (11 National),,,,,,,,,,,,1 (11 Open),,,,,,,,
g12afive2so,A5 12-2 Erin,,39 (11 National),,,,,,,,,,,,,,,,,,,,
g12ajvba1ls,AJV 12 adidas,,,,,,,,3 (12 National),,,,,,,,,,,,,,
g12akiva1pr,Adidas KIVA 12 Red,,,,,,,5 (12 Open),,,7 (12 Open),None (12 Girls Full Schedule),,,5 (11 Open),,,,,,,,
